rating,verified,year,reviewerName
5,TRUE,2015,Ambrosia075
4,FALSE,2015,travis
3,TRUE,2015,Vincent G. Mezera
2,TRUE,2015,Grandma KR
5,TRUE,2014,jon
4,TRUE,2014,IBRAHIM ALBADI
1,FALSE,2014,Creation27
5,TRUE,2014,WhiteSkull
5,TRUE,2014,Travis B. Moore
4,TRUE,2013,johnnyz3
4,TRUE,2012,Amazon Customer
1,FALSE,2012,Rob NY
5,TRUE,2011,Bob
5,FALSE,2011,FiSH
5,FALSE,2011,Suk W. Yu
4,TRUE,2011,Angry Ryan
5,FALSE,2011,Timmiley
1,TRUE,2013,Lynn
1,FALSE,2013,--
4,FALSE,2012,Wicasawakan
5,TRUE,2015,Mike A. Darsch
4,TRUE,2015,Johnathan Scott
4,TRUE,2014,CubOfJudahsLion
4,FALSE,2014,Roderic Rinehart
2,TRUE,2013,Emelinda Willis
1,TRUE,2014,Joseph R. Kennedy
1,TRUE,2014,Amazon Shopper
2,TRUE,2014,D. Sweetapple
5,TRUE,2013,hewimp
1,TRUE,2013,Peter Ostman
1,TRUE,2013,MotoRider42HC
2,TRUE,2013,T. Hanson
4,TRUE,2013,Sincere Reviewer
3,TRUE,2013,Old-Lumens
5,TRUE,2013,evvvvv
4,TRUE,2013,A.R.G.
1,TRUE,2013,Lisa the Amazing
4,FALSE,2012,R. Lew
1,FALSE,2012,Chesty Puller
4,FALSE,2012,D@rkFX
1,TRUE,2012,123
3,TRUE,2012,TheITMan
4,FALSE,2012,Moviedude
5,TRUE,2011,Henri Savin
1,FALSE,2011,Tara T.
3,TRUE,2011,ampgreen
4,TRUE,2017,Steven Rea
5,TRUE,2017,D Comrey
5,TRUE,2016,Amazon Customer
5,TRUE,2016,Wadev3
5,TRUE,2016,Alejandro Garcia
5,TRUE,2016,Rob
5,TRUE,2016,Jose Miguel Nieves
5,TRUE,2016,ecp
5,TRUE,2016,Kitty Lexi
2,TRUE,2015,Toy
5,TRUE,2015,Martin Jimenez
5,TRUE,2015,skyforce95
5,TRUE,2015,Sin
4,TRUE,2015,Riki Lecotey
5,TRUE,2015,Bloomer
5,TRUE,2015,Jordan House
4,TRUE,2015,Patrick Christensen
5,TRUE,2015,trojanboy_cdx
5,TRUE,2014,GOD
5,TRUE,2014,Rolando Rollee Garcia
5,TRUE,2014,Vinicio Martinez
5,FALSE,2014,B
5,TRUE,2014,Andrew M. Hamling
5,TRUE,2014,Millennial Angst
5,TRUE,2014,Locke
5,TRUE,2014,greencheeseELF
5,TRUE,2014,Marcus S. Morris
5,TRUE,2014,Salem Jader
5,TRUE,2014,James mang
5,TRUE,2014,chadwick
5,TRUE,2014,Jason Risoldi
5,TRUE,2014,S P
5,TRUE,2014,papajimm
5,TRUE,2014,I. McInerney
5,TRUE,2014,Domino
5,TRUE,2014,MQ
5,TRUE,2014,N. Jones
5,TRUE,2014,Natalia Canela
5,TRUE,2014,Christina
5,TRUE,2014,Tina pease
5,TRUE,2014,Stephen Hoeltge
4,TRUE,2013,Alberto Tequida Banda
5,TRUE,2013,LarzDude
5,TRUE,2013,Trance Pacifica
5,TRUE,2013,Vdub
5,TRUE,2013,ROB F.
4,TRUE,2013,Tsanche
4,TRUE,2013,Gary Coffman
3,TRUE,2011,DJ
4,TRUE,2010,Jean A. Lukas
5,FALSE,2010,Heather Martin
5,TRUE,2009,Javier Miranda
5,TRUE,2018,Juan Carlos
3,TRUE,2017,Danb2
5,TRUE,2017,Princess Lonal
1,TRUE,2017,damocles
4,FALSE,2016,Dave
5,TRUE,2016,Mikal
5,TRUE,2016,Amazon Customer
1,TRUE,2016,J. Kahl
5,TRUE,2016,Amanda
4,TRUE,2016,Chad
5,TRUE,2016,cris
5,TRUE,2016,Robert Otto
4,TRUE,2016,Tekgeekgirl
2,TRUE,2016,Josh
5,TRUE,2016,Cathryn
5,TRUE,2016,Cindy
4,TRUE,2016,Andrea
4,TRUE,2016,Laura R
1,TRUE,2016,SokeOL
5,TRUE,2016,Brett Colbert II
1,TRUE,2015,fabian fraga
4,TRUE,2015,Angel R. Diaz
1,TRUE,2015,Ryan G
4,TRUE,2015,david
5,TRUE,2015,Jaclyn
5,TRUE,2015,Jordan
5,TRUE,2015,Worrierjeb
5,TRUE,2015,J ROW
5,TRUE,2015,thaz
5,TRUE,2014,Vonnie
5,TRUE,2014,Christian
5,TRUE,2014,Javi6410
4,TRUE,2014,Karina
5,TRUE,2014,Pam
5,TRUE,2014,LaTavia E.
5,TRUE,2014,CHASE ALBERTS
1,TRUE,2013,Plasmarobo
5,TRUE,2011,C. Boudreau
5,TRUE,2011,MP06011999
5,FALSE,2010,Tanna Banana
5,FALSE,2014,The_Magus_Raven
5,TRUE,2013,JD Penn
4,TRUE,2013,Evan
5,TRUE,2013,Joseph Zorumski
5,TRUE,2013,stevebeegle1970
5,TRUE,2012,PearlGirl
1,FALSE,2011,Mike Wahl
4,TRUE,2011,alter
